Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
"[0, 0, 1]","[0, 0, 1]","[0, 1, 0, 0]",17,6,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 0, 1]",7,9,3,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]",81-90,4,3,"[0, 0, 0, 1]",9,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",26,2,"[0, 1, 0, 0]","[0, 1, 0, 0]",4,4,"[0, 1, 0]","[0, 0, 1]",1,6,1,"[0, 0, 1]","[0, 1, 0]","[0, 1, 0]",81-90,3,2,"[0, 1, 0, 0]",7,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 0, 1]",19,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",3,4,"[0, 1, 0]","[0, 1, 0]",4,6,4,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]",71-80,2,1,"[0, 0, 1, 0]",4,"[0, 0, 1, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 1, 0]",21,6,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 1, 0]",3,7,3,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",11-20,4,2,"[0, 0, 0, 1]",4,"[0, 0, 0, 1]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",19,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",6,4,"[0, 1, 0]","[0, 1, 0]",7,6,1,"[0, 1, 0]","[0, 0, 1]","[0, 0, 1]",81-90,3,3,"[0, 1, 0, 0]",6,"[0, 1, 0, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",18,5,"[0, 1, 0, 0]","[0, 1, 0, 0]",5,2,"[0, 0, 1]","[0, 1, 0]",4,2,3,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]",81-90,2,1,"[0, 1, 0, 0]",8,"[0, 0, 1, 0]"
"[0, 1, 0]","[0, 1, 0]","[0, 1, 0, 0]",21,7,"[0, 0, 0, 1]","[0, 1, 0, 0]",4,3,"[0, 1, 0]","[0, 0, 1]",3,8,3,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",71-80,2,2,"[0, 1, 0, 0]",8,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 0, 1, 0]",21,7,"[0, 0, 0, 1]","[0, 1, 0, 0]",5,3,"[0, 1, 0]","[0, 0, 1]",3,5,3,"[0, 0, 1]","[0, 0, 1]","[0, 1, 0]",71-80,2,3,"[0, 0, 1, 0]",6,"[0, 1, 0, 0]"
"[0, 0, 1]","[0, 1, 0]","[0, 1, 0, 0]",21,9,"[0, 1, 0, 0]","[0, 1, 0, 0]",5,3,"[0, 1, 0]","[0, 0, 1]",4,10,3,"[0, 1, 0]","[0, 0, 1]","[0, 1, 0]",41-50,2,3,"[0, 0, 1, 0]",6,"[0, 0, 0, 1]"
"[0, 1, 0]","[0, 1, 0]","[0, 0, 1, 0]",21,6,"[0, 0, 1, 0]","[0, 1, 0, 0]",5,2,"[0, 1, 0]","[0, 1, 0]",3,6,3,"[0, 0, 1]","[0, 0, 1]","[0, 1, 0]",81-90,3,2,"[0, 1, 0, 0]",6,"[0, 1, 0, 0]"
