,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
52,Male,Urban,Under Graduate,18.0,7.0,Desktop,Middle Class,4.0,4.0,Yes,Yes,2.0,7.0,1.0,No,No,No,91-100,5.0,4.0,Both,8.0,Good
54,Male,Urban,Post Graduate,21.0,8.0,Mobile,Middle Class,4.0,4.0,Yes,No,6.0,8.0,6.0,Yes,Yes,yes,61-70,3.0,3.0,Theory,7.0,Average
55,Female,Rural,Post Graduate,21.0,8.0,Mobile,Middle Class,4.0,4.0,No,Yes,4.0,3.0,5.0,No,Yes,yes,31-40,2.0,2.0,Theory,6.0,Good
57,Male,Urban,Post Graduate,20.0,8.0,Laptop,Middle Class,4.0,3.0,Yes,No,5.0,7.0,2.0,Yes,No,yes,61-70,2.0,2.0,Practical,6.0,Average
58,Male,Rural,Under Graduate,20.0,9.0,Mobile,Middle Class,5.0,4.0,Yes,Yes,5.0,6.0,1.0,No,No,No,51-60,2.0,2.0,Both,6.0,Average
60,Female,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,5.0,4.0,No,No,4.0,6.0,4.0,No,No,yes,81-90,2.0,3.0,Theory,7.0,Average
62,Female,Rural,Post Graduate,21.0,7.0,Mobile,Middle Class,5.0,4.0,No,No,5.0,7.0,2.0,No,Yes,yes,71-80,4.0,4.0,Practical,8.0,Good
63,Female,Rural,Under Graduate,19.0,6.0,Mobile,Middle Class,4.0,4.0,No,Yes,3.0,7.0,2.0,Yes,Yes,No,81-90,4.0,4.0,Practical,6.0,Good
64,Female,Rural,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,3.0,No,Yes,5.0,10.0,4.0,Yes,No,No,51-60,3.0,2.0,Practical,10.0,Good
65,Female,Rural,Under Graduate,18.0,4.0,Mobile,Middle Class,4.0,3.0,No,Yes,5.0,6.0,3.0,Yes,Yes,yes,61-70,2.0,2.0,Theory,10.0,Good
66,Female,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,5.0,4.0,No,Yes,8.0,6.0,2.0,Yes,Yes,yes,71-80,4.0,4.0,Theory,8.0,Average
67,Female,Urban,Under Graduate,20.0,5.0,Mobile,Middle Class,4.0,3.0,No,Yes,2.0,9.0,2.0,No,Yes,yes,71-80,5.0,3.0,Theory,9.0,Good
68,Male,Urban,Under Graduate,19.0,7.0,Mobile,Middle Class,4.0,4.0,Yes,Yes,6.0,8.0,4.0,Yes,Yes,yes,61-70,4.0,4.0,Both,8.0,Average
70,Female,Urban,Under Graduate,19.0,9.0,Laptop,Middle Class,4.0,4.0,No,No,4.0,7.0,3.0,No,Yes,yes,61-70,4.0,4.0,Both,10.0,Good
72,Female,Urban,Under Graduate,19.0,6.0,Mobile,Middle Class,6.0,3.0,No,Yes,5.0,6.0,3.0,Yes,No,yes,61-70,3.0,3.0,Practical,6.0,Average
73,Male,Urban,Post Graduate,21.0,8.0,Mobile,Middle Class,5.0,5.0,Yes,No,2.0,8.0,3.0,Yes,Yes,yes,61-70,4.0,4.0,Theory,8.0,Average
74,Female,Urban,Post Graduate,22.0,9.0,Mobile,Middle Class,6.0,3.0,Yes,Yes,5.0,7.0,2.0,No,No,No,71-80,4.0,3.0,Practical,7.0,Good
76,Female,Rural,Under Graduate,19.0,6.0,Mobile,Poor,6.0,3.0,No,No,4.0,6.0,2.0,Yes,No,yes,61-70,4.0,5.0,Practical,10.0,Good
77,Male,Urban,Post Graduate,23.0,6.0,Laptop,Middle Class,4.0,5.0,No,No,6.0,8.0,1.0,Yes,Yes,yes,71-80,3.0,3.0,Both,6.0,Average
78,Male,Rural,Under Graduate,21.0,9.0,Laptop,Middle Class,5.0,3.0,Yes,Yes,6.0,8.0,3.0,No,No,No,51-60,4.0,4.0,Practical,6.0,Average
79,Female,Urban,Under Graduate,20.0,9.0,Mobile,Middle Class,5.0,3.0,No,No,2.0,7.0,1.0,No,No,yes,71-80,4.0,4.0,Theory,7.0,Bad
80,Male,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,4.0,No,No,2.0,5.0,1.0,No,No,No,71-80,3.0,3.0,Both,6.0,Average
81,Female,Urban,Post Graduate,20.0,6.0,Mobile,Middle Class,5.0,2.0,No,Yes,5.0,9.0,5.0,Yes,No,yes,21-30,2.0,2.0,Practical,10.0,Good
84,Female,Rural,Under Graduate,20.0,5.0,Mobile,Middle Class,5.0,5.0,No,Yes,9.0,10.0,6.0,Yes,Yes,yes,51-60,5.0,5.0,Theory,10.0,Average
87,Female,Urban,Under Graduate,18.0,6.0,Mobile,Middle Class,4.0,3.0,Yes,Yes,6.0,7.0,5.0,Yes,No,yes,71-80,3.0,3.0,Practical,5.0,Average
88,Female,Rural,Under Graduate,19.0,5.0,Mobile,Middle Class,3.0,4.0,No,Yes,4.0,7.0,5.0,Yes,No,No,51-60,3.0,3.0,Theory,8.0,Good
89,Male,Rural,Post Graduate,23.0,5.0,Mobile,Middle Class,6.0,3.0,No,No,2.0,8.0,1.0,Yes,No,yes,61-70,4.0,2.0,Practical,7.0,Average
90,Female,Rural,Under Graduate,18.0,5.0,Mobile,Middle Class,3.0,5.0,Yes,No,6.0,7.0,2.0,Yes,No,yes,51-60,5.0,5.0,Practical,9.0,Good
91,Male,Urban,Under Graduate,19.0,5.0,Laptop,Middle Class,4.0,4.0,No,Yes,5.0,7.0,2.0,Yes,No,yes,71-80,4.0,3.0,Both,9.0,Average
92,Female,Rural,Under Graduate,18.0,6.0,Mobile,Middle Class,5.0,2.0,No,Yes,5.0,6.0,2.0,Yes,No,No,71-80,5.0,5.0,Theory,10.0,Good
93,Female,Urban,Under Graduate,20.0,5.0,Mobile,Middle Class,4.0,3.0,Yes,Yes,2.0,7.0,3.0,Yes,No,No,41-50,3.0,2.0,Practical,6.0,Average
94,Female,Urban,Post Graduate,22.0,9.0,Laptop,Middle Class,4.0,3.0,No,Yes,6.0,7.0,1.0,No,Yes,No,81-90,3.0,3.0,Theory,7.0,Average
95,Male,Urban,Under Graduate,19.0,6.0,Laptop,Middle Class,3.0,4.0,No,Yes,6.0,7.0,3.0,Yes,No,No,81-90,3.0,3.0,Both,6.0,Average
97,Male,Rural,Post Graduate,21.0,7.0,Mobile,Middle Class,4.0,3.0,No,No,7.0,6.0,2.0,Yes,No,No,71-80,4.0,3.0,Practical,8.0,Average
98,Female,Rural,Under Graduate,20.0,7.0,Mobile,Middle Class,5.0,3.0,No,Yes,4.0,8.0,3.0,Yes,No,No,71-80,5.0,5.0,Both,8.0,Average
99,Male,Urban,School,18.0,5.0,Laptop,Middle Class,6.0,3.0,Yes,No,2.0,8.0,1.0,Yes,Yes,No,91-100,3.0,2.0,Practical,7.0,Good
101,Female,Rural,Under Graduate,20.0,6.0,Mobile,Middle Class,4.0,2.0,No,No,2.0,7.0,2.0,Yes,No,No,51-60,2.0,4.0,Practical,10.0,Good
103,Female,Urban,Under Graduate,18.0,4.0,Mobile,Middle Class,3.0,4.0,No,No,5.0,7.0,1.0,No,Yes,No,51-60,4.0,4.0,Theory,9.0,Good
105,Male,Urban,Under Graduate,19.0,5.0,Laptop,Middle Class,4.0,5.0,No,No,4.0,7.0,5.0,No,No,No,71-80,2.0,2.0,Practical,4.0,Bad
107,Male,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,4.0,4.0,No,Yes,5.0,8.0,3.0,Yes,Yes,yes,81-90,3.0,3.0,Theory,8.0,Average
110,Female,Urban,Post Graduate,19.0,7.0,Laptop,Middle Class,5.0,4.0,Yes,Yes,5.0,8.0,3.0,No,Yes,No,21-30,3.0,3.0,Practical,7.0,Average
111,Male,Urban,Under Graduate,19.0,7.0,Desktop,Middle Class,4.0,4.0,Yes,No,3.0,5.0,2.0,Yes,No,yes,81-90,3.0,4.0,Both,8.0,Average
112,Male,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,3.0,No,Yes,6.0,7.0,2.0,No,No,No,91-100,3.0,2.0,Practical,7.0,Bad
114,Male,Rural,Under Graduate,19.0,7.0,Mobile,Middle Class,5.0,3.0,Yes,No,4.0,8.0,3.0,Yes,Yes,No,61-70,3.0,2.0,Both,6.0,Average
115,Male,Urban,Under Graduate,19.0,7.0,Mobile,Middle Class,4.0,4.0,No,No,1.0,9.0,2.0,No,Yes,No,71-80,1.0,2.0,Practical,3.0,Average
116,Male,Urban,School,19.0,7.0,Laptop,Middle Class,4.0,3.0,No,No,3.0,4.0,1.0,Yes,Yes,No,81-90,3.0,2.0,Both,6.0,Average
117,Male,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,6.0,4.0,No,Yes,5.0,7.0,3.0,No,No,yes,71-80,3.0,3.0,Theory,7.0,Average
118,Male,Urban,Under Graduate,19.0,6.0,Laptop,Middle Class,4.0,3.0,No,Yes,3.0,7.0,2.0,Yes,Yes,No,71-80,4.0,4.0,Theory,8.0,Good
119,Male,Rural,Under Graduate,20.0,8.0,Mobile,Middle Class,4.0,2.0,No,Yes,3.0,8.0,2.0,Yes,No,yes,81-90,2.0,3.0,Both,7.0,Bad
120,Male,Rural,Under Graduate,19.0,7.0,Laptop,Middle Class,5.0,4.0,No,Yes,8.0,6.0,1.0,Yes,No,yes,81-90,1.0,4.0,Practical,8.0,Bad
121,Female,Rural,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,4.0,No,Yes,7.0,6.0,1.0,No,Yes,No,81-90,3.0,3.0,Theory,6.0,Average
122,Male,Urban,Post Graduate,20.0,6.0,Laptop,Middle Class,6.0,2.0,Yes,Yes,5.0,8.0,3.0,No,Yes,yes,81-90,3.0,2.0,Both,5.0,Average
123,Female,Urban,Under Graduate,18.0,7.0,Laptop,Middle Class,4.0,5.0,No,Yes,6.0,7.0,1.0,Yes,Yes,No,91-100,3.0,3.0,Practical,7.0,Good
124,Male,Rural,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,4.0,Yes,Yes,4.0,8.0,2.0,Yes,No,No,91-100,3.0,3.0,Both,8.0,Average
125,Male,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,4.0,No,Yes,2.0,6.0,1.0,No,No,No,91-100,1.0,3.0,Both,4.0,Bad
126,Female,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,4.0,No,No,3.0,7.0,1.0,No,No,No,61-70,2.0,3.0,Theory,6.0,Average
127,Male,Rural,Under Graduate,19.0,6.0,Mobile,Middle Class,5.0,3.0,Yes,No,3.0,8.0,2.0,Yes,Yes,No,71-80,3.0,3.0,Practical,8.0,Average
128,Female,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,3.0,No,Yes,7.0,5.0,1.0,No,No,yes,91-100,3.0,3.0,Both,7.0,Good
129,Female,Urban,Under Graduate,19.0,6.0,Mobile,Poor,4.0,2.0,No,No,4.0,6.0,2.0,Yes,No,No,81-90,2.0,3.0,Both,8.0,Good
131,Female,Urban,Under Graduate,18.0,7.0,Laptop,Middle Class,4.0,3.0,No,Yes,3.0,8.0,4.0,No,No,No,81-90,2.0,2.0,Practical,6.0,Bad
132,Male,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,4.0,No,No,4.0,6.0,1.0,No,No,No,81-90,2.0,3.0,Both,5.0,Bad
133,Male,Urban,Under Graduate,19.0,7.0,Mobile,Middle Class,4.0,2.0,Yes,No,8.0,9.0,1.0,Yes,No,yes,81-90,1.0,1.0,Both,8.0,Bad
134,Female,Rural,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,4.0,No,No,4.0,7.0,1.0,Yes,Yes,No,81-90,4.0,3.0,Practical,9.0,Average
135,Female,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,4.0,No,Yes,3.0,5.0,4.0,Yes,No,No,91-100,3.0,3.0,Practical,8.0,Average
137,Female,Rural,Under Graduate,21.0,6.0,Mobile,Middle Class,4.0,4.0,No,Yes,5.0,6.0,2.0,No,No,yes,71-80,3.0,3.0,Theory,7.0,Average
138,Female,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,5.0,No,Yes,8.0,8.0,1.0,No,Yes,yes,91-100,4.0,4.0,Practical,9.0,Good
139,Female,Urban,Under Graduate,18.0,8.0,Mobile,Middle Class,4.0,4.0,Yes,Yes,3.0,8.0,3.0,No,Yes,No,61-70,3.0,2.0,Theory,4.0,Average
