,Age(Years),Number of Subjects,Family size,Internet facility in your locality,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Performance in online
418,21,3,4,5,2,7,1,81-90,3,3,10
419,21,5,5,4,7,8,1,71-80,3,5,7
420,20,9,4,3,2,7,2,91-100,2,3,7
421,20,20,7,1,1,7,2,11-20,1,1,8
422,21,10,6,2,8,7,1,81-90,1,1,6
423,21,7,4,4,5,9,1,91-100,3,2,7
424,24,6,5,2,6,8,1,61-70,4,4,9
425,22,3,10,4,6,8,3,71-80,1,1,2
426,20,5,5,5,5,6,3,81-90,3,3,8
427,22,6,3,2,10,2,10,21-30,1,1,2
428,20,7,4,5,1,7,4,81-90,4,4,4
429,21,5,4,5,1,7,4,91-100,5,5,10
430,20,20,4,5,1,5,8,81-90,3,3,4
431,21,3,3,1,1,4,2,81-90,1,1,2
432,21,2,4,3,4,5,4,81-90,3,1,6
433,23,6,4,4,5,6,1,61-70,3,3,6
434,19,6,4,5,4,8,2,81-90,3,3,8
435,20,7,4,5,1,6,8,71-80,1,1,6
436,24,6,4,2,8,4,1,71-80,4,3,7
437,22,3,4,5,2,8,1,81-90,4,1,8
438,21,4,5,4,5,7,5,91-100,4,4,10
439,12,8,3,4,2,10,6,81-90,5,4,6
440,18,1,4,4,4,7,3,71-80,3,3,9
441,25,20,5,3,8,8,3,51-60,4,5,10
442,19,9,4,5,4,6,2,71-80,5,5,9
443,19,5,3,5,3,7,3,91-100,2,1,3
444,21,16,3,4,3,7,2,81-90,3,2,5
445,21,19,6,3,4,7,10,51-60,4,5,8
446,19,7,5,3,3,7,2,61-70,3,3,6
447,17,6,5,5,4,7,1,81-90,4,4,8
448,21,5,5,5,4,7,2,71-80,2,4,9
449,21,6,5,5,3,7,1,81-90,2,1,4
450,21,5,4,5,4,8,5,81-90,3,3,7
451,21,3,4,4,3,8,1,81-90,3,3,7
452,21,5,4,4,4,7,1,71-80,2,2,8
453,19,6,3,5,7,8,1,71-80,5,5,10
454,21,8,4,4,2,10,8,71-80,1,1,4
455,20,7,5,4,8,8,3,71-80,3,3,8
456,34,10,2,4,2,6,1,61-70,4,4,9
457,24,5,5,3,3,7,5,71-80,3,3,6
458,21,5,7,5,6,7,3,81-90,3,5,6
459,23,4,10,5,6,6,10,51-60,5,5,9
460,21,8,5,3,8,5,1,91-100,4,4,7
461,24,6,6,3,10,6,2,71-80,3,3,8
462,20,6,5,5,3,3,8,91-100,1,1,8
463,20,9,4,4,8,7,3,81-90,3,2,6
464,23,6,3,3,2,4,2,61-70,3,3,6
465,18,5,4,3,8,6,2,71-80,4,3,6
466,18,5,4,4,4,7,2,91-100,3,3,6
467,21,8,4,4,4,6,2,81-90,5,4,8
468,18,5,4,2,4,7,3,81-90,2,2,5
469,18,6,4,5,4,6,2,91-100,3,3,8
470,23,8,4,4,6,6,1,81-90,4,3,5
471,21,13,4,3,4,6,4,51-60,3,3,8
472,21,20,10,4,5,5,4,61-70,2,1,8
473,21,9,4,5,7,8,4,61-70,5,5,7
474,21,5,4,4,3,8,8,71-80,3,3,4
475,17,5,4,5,4,7,1,81-90,4,4,8
476,18,5,6,3,5,6,6,51-60,2,2,9
477,21,7,4,4,1,7,6,61-70,1,1,4
478,24,1,3,2,8,5,7,81-90,4,4,9
