,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
389,Male,Urban,Under Graduate,20,8,Mobile,Middle Class,3,3,No,No,3,5,1,Yes,No,No,95.5,2,1,Both,6,Bad
390,Female,Urban,Under Graduate,22,8,Laptop,Middle Class,3,4,No,No,4,6,3,No,Yes,No,95.5,2,2,Both,5,Average
391,Male,Rural,Under Graduate,22,5,Mobile,Middle Class,4,4,No,Yes,4,8,2,No,Yes,yes,65.5,3,4,Both,6,Average
392,Male,Rural,Under Graduate,22,6,Laptop,Poor,5,2,No,No,6,6,2,No,No,yes,65.5,3,3,Theory,6,Average
393,Female,Urban,Post Graduate,37,12,Laptop,Middle Class,4,3,No,No,3,5,1,No,No,No,55.5,3,3,Practical,6,Average
394,Female,Rural,Under Graduate,22,5,Laptop,Middle Class,3,4,No,Yes,7,8,4,Yes,Yes,yes,75.5,4,4,Practical,8,Average
395,Female,Urban,Under Graduate,22,4,Laptop,Middle Class,6,3,No,Yes,6,5,1,Yes,Yes,yes,85.5,2,2,Practical,6,Average
396,Female,Rural,Under Graduate,22,5,Laptop,Middle Class,4,2,No,Yes,6,6,4,No,Yes,yes,75.5,3,3,Practical,7,Bad
397,Male,Urban,School,20,7,Laptop,Middle Class,3,3,Yes,Yes,5,8,4,Yes,Yes,yes,85.5,2,1,Both,5,Average
398,Male,Urban,Under Graduate,20,7,Laptop,Middle Class,6,5,Yes,No,3,8,2,No,Yes,No,95.5,1,3,Both,6,Average
399,Female,Rural,Under Graduate,22,6,Laptop,Middle Class,5,3,No,Yes,7,6,2,No,Yes,yes,65.5,3,3,Theory,6,Average
400,Female,Rural,School,12,12,Mobile,Poor,4,2,Yes,Yes,10,8,1,No,No,No,95.5,4,4,Practical,8,Average
401,Female,Urban,Post Graduate,40,10,Laptop,Middle Class,4,5,No,No,3,6,1,No,No,yes,15.5,5,4,Practical,9,Good
402,Female,Rural,Under Graduate,22,6,Mobile,Middle Class,4,3,No,Yes,9,6,3,No,Yes,No,65.5,3,3,Practical,6,Average
403,Female,Rural,Under Graduate,23,5,Laptop,Middle Class,7,3,No,Yes,7,7,3,No,Yes,No,75.5,3,3,Theory,4,Average
404,Female,Urban,Under Graduate,23,5,Laptop,Middle Class,4,2,No,Yes,8,7,3,No,No,yes,85.5,4,3,Practical,6,Average
405,Male,Rural,Under Graduate,24,5,Laptop,Middle Class,4,2,Yes,No,10,7,1,No,Yes,yes,65.5,3,2,Practical,6,Average
406,Male,Rural,Under Graduate,22,5,Laptop,Middle Class,6,2,Yes,Yes,2,8,1,Yes,Yes,yes,75.5,2,1,Practical,3,Bad
407,Male,Urban,Under Graduate,19,8,Laptop,Middle Class,3,5,No,No,10,5,8,Yes,Yes,yes,95.5,4,1,Both,6,Average
408,Female,Urban,Under Graduate,21,20,Laptop,Middle Class,4,4,No,No,4,7,2,Yes,Yes,yes,85.5,3,4,Both,7,Average
409,Male,Urban,Under Graduate,21,5,Laptop,Middle Class,5,5,No,No,5,6,2,No,Yes,yes,65.5,3,3,Both,6,Average
410,Female,Urban,Under Graduate,21,5,Laptop,Middle Class,6,3,No,Yes,5,4,1,No,No,yes,85.5,3,2,Practical,4,Average
411,Male,Urban,Under Graduate,21,5,Laptop,Middle Class,4,2,No,No,3,5,2,Yes,Yes,yes,75.5,3,2,Both,8,Average
412,Female,Urban,Under Graduate,20,4,Laptop,Middle Class,5,5,No,No,2,7,2,No,Yes,No,75.5,4,3,Both,8,Average
413,Female,Rural,Under Graduate,25,20,Laptop,Middle Class,4,4,Yes,Yes,3,8,2,Yes,Yes,yes,55.5,5,5,Practical,9,Good
414,Male,Urban,Under Graduate,21,4,Laptop,Middle Class,4,4,Yes,No,5,7,2,Yes,Yes,yes,85.5,4,3,Both,6,Bad
